mechanism,attack,epsilon,delta,n_observations,trials,seed,auc,advantage,advantage_ci_lo,advantage_ci_hi,auc_ci_lo,auc_ci_hi,train_pool,test_pool,mean_release_ns,sensitivity_ns,bin_ns
m-bucket,likelihood-ratio,0.1,0.000001,64,1500,2,0.712402,0.424805,0.397404,0.451238,0.698702,0.725619,2000,2000,35158625.3,509626,1
m-bucket,mean-threshold,0.1,0.000001,64,1500,0,0.298328,0.403343,0.376171,0.432164,0.283918,0.311915,2000,2000,35159177.4,509626,1
m-bucket,mean-threshold,0.1,0.000001,64,1500,1,0.302339,0.395323,0.368424,0.423206,0.288397,0.315788,2000,2000,35159365.8,509626,1
m-bucket,mean-threshold,0.1,0.000001,64,1500,2,0.300949,0.398103,0.370386,0.425759,0.287120,0.314807,2000,2000,35158625.3,509626,1
m-bucket,likelihood-ratio,0.1,0.000001,256,1000,0,0.948388,0.896776,0.876097,0.916739,0.938048,0.958369,2000,2000,35158989.2,509626,1
m-bucket,likelihood-ratio,0.1,0.000001,256,1000,1,0.950827,0.901653,0.881175,0.920450,0.940588,0.960225,2000,2000,35158920.6,509626,1
m-bucket,likelihood-ratio,0.1,0.000001,256,1000,2,0.949874,0.899748,0.878882,0.918700,0.939441,0.959350,2000,2000,35158803.1,509626,1
m-bucket,mean-threshold,0.1,0.000001,256,2000,0,0.151927,0.696147,0.669091,0.722267,0.138867,0.165455,2000,2000,35158971.3,509626,1
m-bucket,mean-threshold,0.1,0.000001,256,2000,1,0.142896,0.714208,0.687729,0.741042,0.129479,0.156135,2000,2000,35158794.7,509626,1
m-bucket,mean-threshold,0.1,0.000001,256,2000,2,0.143441,0.713118,0.685019,0.739135,0.130433,0.157491,2000,2000,35158611.0,509626,1
m-geo,likelihood-ratio,0.5,0.000001,1,2000,0,0.510373,0.020746,0.016958,0.058228,0.491521,0.529114,2000,2000,15114498.4,509626,132318
m-geo,likelihood-ratio,0.5,0.000001,1,1500,1,0.500924,0.001848,0.039386,0.042886,0.480307,0.521443,2000,2000,15127623.8,509626,134038
m-geo,likelihood-ratio,0.5,0.000001,1,1000,2,0.500969,0.001937,0.048498,0.052655,0.475751,0.526327,2000,2000,15069333.2,509626,134188
m-geo,mean-threshold,0.5,0.000001,1,1000,0,0.493451,0.013098,0.038330,0.063184,0.468408,0.519165,2000,2000,15059069.0,509626,132318
m-geo,mean-threshold,0.5,0.000001,1,3000,1,0.467997,0.064006,0.036041,0.091476,0.454262,0.481980,2000,2000,15110088.7,509626,134038
m-geo,mean-threshold,0.5,0.000001,1,3000,2,0.466731,0.066539,0.036442,0.094543,0.452728,0.481779,2000,2000,15106473.7,509626,134188
m-geo,likelihood-ratio,0.5,0.000001,4,3000,0,0.542740,0.085481,0.055671,0.115458,0.527836,0.557729,2000,2000,15104707.6,509626,132318
m-geo,likelihood-ratio,0.5,0.000001,4,1000,1,0.515190,0.030380,0.022193,0.081493,0.488903,0.540747,2000,2000,15114171.9,509626,134038
m-geo,likelihood-ratio,0.5,0.000001,4,1000,2,0.512583,0.025167,0.026608,0.073246,0.486696,0.536623,2000,2000,15099652.4,509626,134188
m-geo,mean-threshold,0.5,0.000001,4,3500,0,0.461817,0.076366,0.049315,0.103316,0.448342,0.475342,2000,2000,15109737.0,509626,132318
m-geo,mean-threshold,0.5,0.000001,4,1000,1,0.491624,0.016752,0.035200,0.065816,0.467092,0.517600,2000,2000,15114171.9,509626,134038
m-geo,mean-threshold,0.5,0.000001,4,3000,2,0.471246,0.057509,0.028210,0.084592,0.457704,0.485895,2000,2000,15097370.0,509626,134188
m-geo,likelihood-ratio,0.5,0.000001,16,3000,0,0.568963,0.137925,0.110295,0.167992,0.555147,0.583996,2000,2000,15109648.2,509626,132318
m-geo,likelihood-ratio,0.5,0.000001,16,3000,1,0.527749,0.055498,0.027095,0.085325,0.513547,0.542663,2000,2000,15101481.2,509626,134038
m-geo,likelihood-ratio,0.5,0.000001,16,1000,2,0.500565,0.001130,0.050984,0.051668,0.474508,0.525834,2000,2000,15098270.4,509626,134188
